Number,sample_identifier,oxygen,deuterium,Type,Location,High_Frequency,Event,Date,Time,Date_Time,Times
M57,Event4-W2,-4.91,-25.91,Stream,Weir,Y,4,7/11/18,15:40,7/11/18 15:40,32
M58,Event4-W3,-4.97,-26.1,Stream,Weir,Y,4,7/11/18,15:50,7/11/18 15:50,42
M59,Event4-W4,-5.03,-26.38,Stream,Weir,Y,4,7/11/18,16:00,7/11/18 16:00,52
M60,Event4-W5,-5.08,-26.1,Stream,Weir,Y,4,7/11/18,16:10,7/11/18 16:10,62
M61,Event4-W6,-5.04,-25.93,Stream,Weir,Y,4,7/11/18,16:25,7/11/18 16:25,77
M62,Rainwater20180705-2,-3.65,-18.55,Precipitation,Rain,N,,7/6/18,8:30,7/6/18 8:30,
M63,Rainwater7/8/18,-1.09,1.63,Precipitation,Rain,N,,7/8/18,8:20,7/8/18 8:20,
M64,Rainfall7/9/18,-1.03,6.59,Precipitation,Rain,N,,7/9/18,9:00,7/9/18 9:00,
M65,Rainwater7/10/18,-1.42,2.16,Precipitation,Rain,N,,7/10/18,7:20,7/10/18 7:20,
M66,Rainwater7/11/18,-1.79,-0.98,Precipitation,Rain,N,,7/11/18,8:10,7/11/18 8:10,
M67,Rain20180711-0712,-4.14,-24.42,Precipitation,Rain,N,,7/12/18,8:00,7/12/18 8:00,
M68,Rain2018/07/13-14,-2.54,-7.67,Precipitation,Rain,N,,7/13/18,8:30,7/13/18 8:30,
M69,Rain20180713-14,-2.74,-11.05,Precipitation,Rain,N,,7/14/18,9:15,7/14/18 9:15,
M70,Weir20180707,-4.84,-24.57,Stream,Weir,N,,7/7/18,10:16,7/7/18 10:16,
M71,Weir20180708,-4.81,-25.22,Stream,Weir,N,,7/8/18,9:59,7/8/18 9:59,
M72,Weir20180709,-5.13,-26.95,Stream,Weir,N,,7/9/18,13:34,7/9/18 13:34,
M73,Weir7/11/18,-4.91,-25.38,Stream,Weir,N,,7/11/18,9:09,7/11/18 9:09,
M74,Weir20180712,-5.02,-25.78,Stream,Weir,N,,7/12/18,8:43,7/12/18 8:43,
M75,Weir20180713,-4.87,-25.91,Stream,Weir,N,,7/13/18,9:32,7/13/18 9:32,
M76,Spring20180707,-5.18,-28.86,Spring,Spring,N,,7/7/18,10:05,7/7/18 10:05,
M77,Spring20180708,-5.14,-28.17,Spring,Spring,N,,7/8/18,10:37,7/8/18 10:37,
M78,Spring20180709,-5.06,-26.4,Spring,Spring,N,,7/9/18,13:48,7/9/18 13:48,
M79,Spring7/11/18,-5.22,-28.02,Spring,Spring,N,,7/11/18,9:33,7/11/18 9:33,
M80,Spring20180712,-5.14,-27.76,Spring,Spring,N,,7/12/18,9:04,7/12/18 9:04,
M81,Spring20180713,-5.01,-27.43,Spring,Spring,N,,7/13/18,9:46,7/13/18 9:46,
M82,2018/06/19 - 2018/06/21,-8.64,-63.82,Precipitation,Rain,N,,6/21/18,8:30,6/21/18 8:30,
M83,2018/06/23 - 2018/06/25,-2.83,-12.69,Precipitation,Rain,N,,6/26/18,8:30,6/26/18 8:30,
M84,2018/06/26 - 2018/06/27,-6.48,-44.6,Precipitation,Rain,N,,6/27/18,9:05,6/27/18 9:05,
M85,2018/06/27 - 2018/06/28,-4.76,-28.99,Precipitation,Rain,N,,6/28/18,10:00,6/28/18 10:00,
M86,2018/06/28 - 2018/06/29,-3.2,-17.54,Precipitation,Rain,N,,6/29/18,8:30,6/29/18 8:30,
M87,2018/06/29 - 2018/063/30,-1.6,-4.09,Precipitation,Rain,N,,6/30/18,7:05,6/30/18 7:05,
M88,2018/06/30 - 2018/07/01,-1.99,-6.45,Precipitation,Rain,N,,7/1/18,8:30,7/1/18 8:30,
M89,2018/07/01 - 2018/07/02,-1.57,-4.64,Precipitation,Rain,N,,7/2/18,8:30,7/2/18 8:30,
M90,2018/07/04 - 2018/07/05,-4.37,-25.01,Precipitation,Rain,N,,7/5/18,8:45,7/5/18 8:45,
M91,6/19/18,-4.91,-25.19,Stream,Weir,N,,6/19/18,13:43,6/19/18 13:43,
M92,6/21/18,-4.93,-24.56,Stream,Weir,N,,6/21/18,9:43,6/21/18 9:43,
M93,6/22/18,-4.96,-24.32,Stream,Weir,N,,6/22/18,9:31,6/22/18 9:31,
M94,6/25/18,-4.81,-24.49,Stream,Weir,N,,6/25/18,9:35,6/25/18 9:35,
M95,6/27/18,-5.16,-26.71,Stream,Weir,N,,6/27/18,10:00,6/27/18 10:00,
M96,6/28/18,-4.96,-24.6,Stream,Weir,N,,6/28/18,10:48,6/28/18 10:48,
M97,6/29/18,-4.83,-24.87,Stream,Weir,N,,6/29/18,9:39,6/29/18 9:39,
M98,7/1/18,-4.82,-24.52,Stream,Weir,N,,7/1/18,9:23,7/1/18 9:23,
M99,7/2/18,-4.64,-24.52,Stream,Weir,N,,7/2/18,12:18,7/2/18 12:18,
M100,7/3/18,-4.76,-23.99,Stream,Weir,N,,7/3/18,9:40,7/3/18 9:40,
M101,7/5/18,-4.82,-24.42,Stream,Weir,N,,7/5/18,11:01,7/5/18 11:01,
M102,6/19/18,-5,-25.28,Spring,Spring,N,,6/19/18,14:27,6/19/18 14:27,
M103,6/21/18,-4.93,-25.65,Spring,Spring,N,,6/21/18,10:04,6/21/18 10:04,
M104,6/22/18,-4.74,-25.5,Spring,Spring,N,,6/22/18,9:45,6/22/18 9:45,
M105,6/25/18,-4.78,-25.29,Spring,Spring,N,,6/25/18,9:52,6/25/18 9:52,
M106,6/27/18,-4.81,-25.9,Spring,Spring,N,,6/27/18,10:20,6/27/18 10:20,
M107,6/28/18,-4.69,-26.73,Spring,Spring,N,,6/28/18,11:13,6/28/18 11:13,
M108,6/29/18,-4.78,-24.59,Spring,Spring,N,,6/29/18,10:04,6/29/18 10:04,
M109,7/1/18,-4.83,-24.75,Spring,Spring,N,,7/1/18,9:49,7/1/18 9:49,
M110,7/2/18,-4.98,-24.79,Spring,Spring,N,,7/2/18,11:23,7/2/18 11:23,
M111,7/3/18,-5.06,-25.07,Spring,Spring,N,,7/3/18,9:58,7/3/18 9:58,
M112,7/5/18,-5.08,-27.25,Spring,Spring,N,,7/5/18,11:23,7/5/18 11:23,
,"US11 7/7/18 F,UA",-3.66,-18.2,Upstream,,,,,,,
,"DS11 7/7/18 F,UA",-3.55,-23.3,Stream,,,,,,,
,"DS12 07/07/07 F,UA",-4.4,-23.9,Stream,,,,,,,
,"US12 7/7/18 F,UA",-4.5,-24.6,Upstream,,,,,,,
,"DS9 Bot 7/7/18 F,UA",-4.39,-23.7,Stream,,,,,,,
,"DS13 7/7/18 F, UA",-4.52,-24.1,Stream,,,,,,,
,"US13 7/7/18 F,UA",-4.62,-23.8,Upstream,,,,,,,
,"DS14 7/7/18 F,UA",-4.62,-23.5,Stream,,,,,,,
