ID,SamplingDate,Chemetrics_Acidified_Date,Site,Source,Temp,SPCOND,pH,ORP,AlkalinityS,AlkalinityW,NH3_f,H2S_f,NO3_f,Fetot,O2,Mn_f,SO4_f,As_f,TotalNField,DOC,TDN,Cl,Fl,NO2,NO3,SO4,Li,Na_IC,K_IC,Mg_IC,Ca_IC,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,Sr2,Ba,K,As,Na,Mg,O18,D,,,,,,
DS19,7/8/2018 5:30,7/8/2018 7:20,Downstream,Stream,21.8,105.1,7.5,296.7,,46.6,0.59,0.1,0.22,BDL,,,,,0.81,0.87,0.1,2.0244,0.0506,1.9512,0.1501,0.8823,0.0013,9.3818,2.3638,2.0016,10.1633,0.18,0.11,0.04,0.22,-0.02,159.11,25.81,9.99,348.42,6.9,0.31,0.72,5.7,0.01,0.06,0.61,1.24,31.98,5655.69,87.02,,,2.38,1.19,6.69,2.4,-5.49,-25.9,,,,,,
DS20,7/8/2018 7:51,7/8/2018 8:20,Downstream,Stream,21.9,111,7.6,299,,48.4,0,0,0.07,BDL,,,,,0.07,0.96,0.1,4.1368,0.0803,1.8661,0.3283,0.8464,0.0012,12.107,1.7666,1.9183,9.7286,0.17,1.08,0.03,0.26,-0.02,192.51,26.52,10.62,358.61,7.05,0.34,0.6,7.81,0.06,0.08,0.64,1.57,37.48,6365.97,87.88,,,2.56,1.35,7.42,2.46,-5.44,-24.9,,,,,,
DS21,7/8/2018 9:40,7/8/2018 10:34,Downstream,Stream,22,112.7,7.6,300.3,,48.6,0,0,0.08,,,,,,0.08,0.77,0.07,2.0276,0.0598,1.9152,0.3051,0.8725,0.0009,8.6844,2.5399,2.0099,10.3154,0.21,0.51,0.03,0.24,-0.01,184.64,26.58,10.86,348.54,7.03,0.35,0.66,5.82,0.01,0.04,0.48,1.49,37.77,6830.28,89.27,,,2.56,1.47,7.88,2.46,-5.48,-24.5,,,,,,
DS22,7/8/2018 12:00,7/8/2018 0:00,Downstream,Stream,22,110.6,7.6,288.4,,34.8,0.02,0,0.03,,,,,,0.05,0.48,0.07,4.2577,0.034,1.9363,0.2855,0.8425,0.0012,12.6474,1.9369,1.9755,9.9545,0.18,1.15,0.03,0.19,-0.01,155.85,26.25,11.03,346.84,7.24,0.28,0.44,5.19,0.01,0.03,0.43,1.26,53.26,5329.52,88.65,,,2.37,1.14,7.12,2.34,-5.27,-38.3,,,,,,
DS23,7/8/2018 14:01,7/8/2018 15:15,Downstream,Stream,22.1,112.1,7.6,307.2,,50.6,0.14,0.01,0.05,,,,,,0.19,0.8,0.12,2.0359,0.0641,1.9375,0.3169,0.8532,0.0012,9.1539,2.8531,2.0638,10.4386,0.21,0.09,0.03,0.22,-0.01,175.28,26.93,11.74,351.73,7.18,0.34,0.49,5.69,0,0.04,0.47,1.38,36.37,5868.2,90.87,,,2.28,1.16,6.8,2.17,-5.33,-24.7,,,,,,
DS24,7/8/2018 15:50,7/8/2018 17:15,Downstream,Stream,22,113.5,7.6,308.7,,46.2,0.152,0.03,0.052,,,,,,0,0.55,0.08,2.0577,0.0471,1.8933,0.2882,0.8467,0.001,8.4236,2.4983,1.9744,10.1255,0.19,0.38,0.03,0.22,-0.02,169.5,25.88,11.66,359.12,7.27,0.3,0.56,8.09,0.01,0.04,0.47,1.34,41.66,5597.78,88.82,,,2.6,1.25,7.8,2.67,-4.86,-25,,,,,,
DS25,7/8/2018 17:30,7/8/2018 17:30,Downstream,Stream,22,110.6,7.6,288.4,19,,0,0.01,0.1,,,,0.671,,0.1,0.75,0.1,2.0521,0.0716,1.979,0.3196,0.8586,0.0012,9.2627,3.0013,2.0365,10.2925,0.22,0.2,0.03,0.23,-0.02,196.86,26.2,12.48,369.3,7.38,0.41,0.5,7.15,0.01,0.04,0.52,1.54,85.55,6104.07,91.75,,,2.47,1.34,7.81,2.7,-4.76,-24.6,,,,,,
DS9Bot,7/7/2018 10:20,7/7/2018 17:45,Downstream,Stream,22,110.7,7.6,267.1,,45.8,0.01,0.05,0.05,BDL,,,,,0.06,2.53,0.11,2.173,0.0047,2.1278,0.1976,1.0792,0.0027,6.9641,3.061,2.0374,9.9914,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.39,-23.7,,,,,,
Howler 2,7/2/2018 13:15,7/2/2018 13:15,Downstream,Stream,22,115.9,5.5,350,14,46.5,0.07,0.08,0.12,0.7,7.9,BDL,,BDL,0.19,1.08,0.13,1.9715,0.0229,2.1473,0.3173,0.8891,,6.814,3.1311,1.885,9.36,0.03,0,2.07,0.01,0,7.15,26.53,15.06,365.61,7.93,0.01,0.19,0.8,0,0.02,0.3,0.06,43.3,37.78,99.93,,,2.55,0.3,5.29,2.8,-5.21,-25.3,,,,,,
Howler Monkey 1,6/16/2019 9:30,6/16/2019 9:30,Downstream,Stream,23.5,93.6,7.72,286.2,,49.1,0.342,0,2.178,,7.863,,,,,,,2.1251,BDL,1.3378,0.3147,1.2442,0.0009,9.2848,5.0193,4.0195,12.2749,0.23,0.01,0.02,0.01,0.02,1.49,13.67,5.91,252.16,6943.62,-0.02,0.05,2.08,0.00,0.01,0.16,-0.18,33.78,5.34,75.77,79.84,119.61,2.20,0.14,4.27,2.45,,,,,,,,
Howler Monkey 2,6/20/2019 9:00,6/20/2019 9:00,Downstream,Stream,23.4,5.1,5.56,267.1,,21.3,0.185,0.024,0.329,,8.785,,,,,,,2.3578,BDL,1.2331,0.6564,1.0932,0.0007,7.4285,5.0375,2.9121,9.4855,0.13,0.01,1.84,0.02,0.02,13.64,8.75,4.95,266.52,5269.08,0.00,0.35,11.78,0.01,0.04,0.41,0.01,0.58,6.93,59.55,62.63,122.76,2.14,0.15,3.40,1.78,,,,,,,,
Howler Monkey 3,6/22/2019 9:00,6/22/2019 9:00,Downstream,Stream,22.4,154.6,7.24,209.2,,17.9,0.243,0.02,0.343,,8.358,,,,,,,2.2195,BDL,1.4433,0.5144,1.195,0.0008,9.3524,4.9505,4.4021,12.9831,0.10,0.04,1.40,0.02,0.02,1.34,13.29,6.23,266.35,7149.23,-0.02,0.10,1.62,0.01,0.05,0.15,-0.21,2.08,4.87,78.58,82.43,120.86,2.24,0.17,4.52,2.59,,,,,,,,
Howler Monkey 4,6/25/2019 10:20,6/25/2019 10:20,Downstream,Stream,22.5,27,8.89,-115,,33.4,0.328,0.059,0.364,,8.463,,,,,,,2.3649,BDL,1.56,0.4339,1.2488,0.0012,9.3229,5.0516,4.3775,13.649,0.13,0.13,0.05,0.03,0.02,1.99,12.72,5.85,259.87,7688.43,0.00,0.35,1.97,0.00,0.04,0.13,-0.15,39.89,5.74,80.65,84.75,124.78,2.31,0.24,4.54,2.59,,,,,,,,
Howler Monkey 5,6/27/2019 9:30,6/27/2019 9:30,Downstream,Stream,22.9,201.9,6.7,180.2,,51.5,0.083,0.042,0.244,,8.673,,,,,,,2.3972,BDL,1.5416,0.0831,1.1779,0.0008,9.1933,4.9461,4.3841,13.6282,0.15,0.01,0.03,0.02,0.03,4.20,12.92,6.07,234.99,7393.17,-0.01,0.25,4.96,0.01,0.03,0.19,-0.09,25.51,4.97,81.00,83.99,125.64,2.31,0.22,4.49,2.56,,,,,,,,
Howler Monkey 6,6/30/2019 11:25,6/30/2019 11:25,Downstream,Stream,22.8,199.5,7.55,147.2,,54,0.153,0.012,0.493,,8.454,,,,,,,2.4406,BDL,1.57,0.3359,1.1878,0.0019,9.8175,5.2501,4.4367,13.2438,-0.07,0.11,0.12,0.07,0.02,2.08,12.89,3.74,255.12,7455.79,-0.01,0.10,1.47,0.00,0.04,0.47,-1.04,27.52,3.64,83.37,86.12,123.04,2.37,0.04,4.73,2.67,,,,,,,,
Howler Monkey 7,7/5/2019 9:10,7/5/2019 9:10,Downstream,Stream,22.4,199.3,7.64,216.8,,54.4,0.124,0.06,0.37,,8.631,,,,,,,2.3416,BDL,1.5806,0.3175,1.1913,BDL,9.5256,5.015,4.5014,13.1834,-0.08,0.42,0.02,0.01,0.03,1.35,12.98,6.35,227.29,7295.38,0.00,0.08,3.49,0.00,0.03,0.17,-0.88,5.40,3.73,81.64,84.49,117.13,2.24,-0.04,4.60,2.55,,,,,,,,
Howler monkey 8,7/12/2019 10:15,7/12/2019 10:15,Downstream,Stream,,,,,45,,0.122,,0.438,,7.892,,,,,,,2.468,BDL,1.5573,0.287,1.1642,0.0007,9.6496,4.9612,4.3363,12.8831,0.15,0.18,0.05,0.02,0.11,4.41,13.53,7.00,249.50,6920.65,-0.02,0.24,4.99,0.01,0.01,0.13,-0.21,5.11,4.83,76.45,81.47,122.68,2.15,0.23,4.26,2.50,,,,,,,,
Howler Weir,7/2/2018 13:53,7/2/2018 13:53,Downstream,Stream,22.2,110.8,7,315,43,44.5,,,0.01,BDL,7.65,BDL,,BDL,,0.87,0.1,2.0262,0.0206,2.0665,0.2729,0.8957,,6.2279,2.8911,1.8277,9.0362,0.11,0.28,1.97,0.02,-0.02,7.37,28,13.47,401.16,8.43,0.01,0.89,2.78,0.01,0.03,0.23,0.09,18.59,45.26,104.71,,,2.79,0.31,6.08,3.16,-6.69,-28.1,,,,,,
HW Trib,7/2/2018 14:17,7/2/2018 14:17,Soil,Soil,22.6,71.9,7,261,19,27.5,,,0.03,BDL,6.03,BDL,,,,1.69,1.31,2.3764,0.0134,1.3719,0.0716,0.6523,,5.4554,1.9509,0.8981,4.6966,-0.11,0.01,0.01,0.02,-0.05,7.1,20.4,2.39,350.41,5.14,0.02,1.12,7.27,0.01,0.04,0.4,0.13,56.63,42.44,79.06,,,2.19,0.04,5.98,1.79,-5.55,-27.1,,,,,,
Rain 1,7/8/2018 8:50,7/8/2018 8:50,Rain,Rain,,,,,,,,,0.289,,,,,,,,,2.09,0.058,0.306,0.242,0.66,0.003,5.169,0.109,0.076,0.299,0.05,0.14,0.03,0.2,-0.04,292,5.48,3.04,376.2,0.29,0.64,5.37,10.7,0.63,0.24,1.35,3.42,53.48,12283.6,2.62,,,0.18,1.96,6.71,0.14,-2.44,-10.6,,,,,,
Rain 1 2019,6/11/2019 17:00,6/11/2019 17:00,Rain,Rain,24.3,30,7.63,145.9,,,0.478,0.043,0.335,,5.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain 2,7/5/2018 8:50,7/5/2018 8:50,Rain,Rain,23.7,23.4,5.03,412.7,,,,0.061,,,7.323,,,,,,,0.831,0,0.247,0.164,0.413,0.001,2.519,0.142,0.045,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.21,-12.2,,,,,,
Rain 2 2019,6/12/2019 11:45,6/12/2019 11:45,Rain,Rain,26,13.6,5.84,221.2,,,0.35,0.038,0.302,,7.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain 3 2019,6/13/2019 10:00,6/13/2019 10:00,Rain,Rain,23.6,6.1,7.39,182.8,,2,0.129,0.036,0.226,,8.606,,,,,,,0.1016,BDL,0.1532,0.0261,0.0619,0.0001,0.0981,0.2544,0.0105,0.0702,0.55,0.05,0.07,0.03,0.00,-0.46,-0.03,0.43,13.54,-50.56,0.00,0.21,0.30,0.04,0.10,0.57,-0.11,18.72,-0.11,0.21,0.22,-1.15,0.07,0.04,0.05,0.00,,,,,,,,
Rain 4,6/20/2019 8:45,6/20/2019 8:45,Rain,Rain,24.1,5,6.91,244.4,,0.3,0.12,0,0.225,,8.759,,,,,,,0.2492,0.0084,0.2108,0.0939,0.216,0.0009,0.5819,0.7851,0.0768,0.3277,0.28,13.06,1.47,0.15,0.01,0.23,-0.02,0.95,37.73,-31.60,0.00,0.43,2.01,0.05,0.15,1.51,-0.21,9.92,2.78,0.38,0.40,1.72,0.20,0.02,0.12,0.01,,,,,,,,
Rain 5,6/27/2019 11:00,6/27/2019 11:00,Rain,Rain,23.4,30.3,7.06,145.2,,0,0.23,0.052,0.388,,8.295,,,,,,,4.5777,BDL,0.3189,0.4649,0.8419,0.0023,21.3885,1.8807,0.1851,0.2791,0.07,29.27,0.07,0.21,0.01,4.13,0.04,0.60,192.22,248.32,0.01,3.58,110.27,0.13,1.30,2.60,-0.04,39.46,5.91,2.19,2.15,5.84,0.78,0.01,0.99,0.16,,,,,,,,
Rain 6,7/7/2019 13:45,7/7/2019 13:45,Rain,Rain,25.1,13,6.36,199.3,,1.9,,,,,,,,,,,,1.8103,BDL,0.2071,0.4739,0.7317,BDL,1.9432,0.3901,0.1641,0.2178,-0.25,0.11,0.03,0.06,0.02,1.22,-0.02,0.18,190.19,173.54,0.04,1.50,1.44,0.17,0.13,0.55,-1.13,70.68,3.59,1.66,1.66,2.88,0.12,-0.19,0.78,0.09,,,,,,,,
rain 7,7/12/2019 11:45,7/12/2019 11:45,Rain,Rain,24.4,13,,,,1.7,0.032,,1.884,,8.86,,,,,,,0.204,BDL,0.1835,0.0319,0.2331,0.0001,0.3285,0.1808,0.0412,0.1178,0.03,3.80,0.40,0.03,0.09,0.28,-0.03,0.19,55.75,-48.02,0.00,0.46,3.80,0.04,0.04,0.36,-0.21,36.18,0.19,0.24,0.26,-1.53,0.03,0.01,0.10,0.02,,,,,,,,
SP 14,7/7/2019 15:15,7/7/2019 15:15,Spring,Spring,23.3,109.5,7.18,170.1,52,51,0.047,0.078,0.667,,6.537,,,,,,,2.392,BDL,1.7724,0.1355,1.5152,0.0006,9.8025,4.8366,5.1943,14.2852,0.18,0.09,0.25,0.12,0.12,-0.16,14.14,4.49,366.73,7450.11,0.02,0.30,5.13,0.00,0.02,0.29,-0.26,9.95,4.64,79.42,84.27,70.44,2.08,0.24,4.60,2.79,,,,,,,,
SP 20,7/7/2019 14:45,7/7/2019 14:45,Spring,Spring,23.9,98,6.6,189.3,39,46.2,0.288,0.033,0.069,,7.394,,,,,,,2.5256,BDL,1.6272,0.3786,1.169,0.001,8.8446,4.6427,4.413,13.0643,0.73,0.08,0.12,0.05,0.66,2.82,12.01,5.16,262.60,6608.92,0.16,0.78,12.98,0.01,0.10,0.34,0.07,9.88,6.93,69.61,74.42,63.42,1.92,0.22,3.96,2.42,,,,,,,,
SP 30,7/7/2019 15:40,7/7/2019 15:40,Spring,Spring,23.3,113.2,7.73,161.5,53,,0.645,,1.25,,7.58,,,,,,,2.6594,BDL,1.7627,0.1551,1.2542,0.0005,9.808,5.2169,5.1752,14.1717,0.19,0.05,0.02,0.07,0.14,-0.01,14.35,4.68,269.20,7458.67,0.00,3.46,5.46,0.02,0.01,0.47,-0.11,10.59,4.21,78.79,83.35,68.91,2.28,0.18,4.50,2.95,,,,,,,,
SP 32,7/7/2019 16:05,7/7/2019 16:05,Spring,Spring,24,85,3.3,344,30,,0.815,0,1.675,,7.427,,,,,,,3.1391,BDL,1.3582,0.1212,1.0485,0.0011,8.2216,4.342,3.6637,10.3787,0.13,0.13,0.02,0.04,0.09,2.64,11.03,4.76,208.87,5404.81,-0.01,0.99,10.50,0.01,0.02,0.28,-0.05,7.69,4.27,65.02,68.15,90.48,1.79,0.12,3.67,2.04,,,,,,,,
SP 38,7/6/2019 15:35,7/6/2019 15:35,Spring,Spring,22.7,79.4,6.43,153,,38,0.709,0.264,2.358,,7.059,,,,,,,2.4352,BDL,1.3904,0.2045,1.0012,0.0009,8.1866,3.3027,3.5052,9.8248,0.01,0.02,0.02,0.02,0.01,0.71,10.79,3.25,200.36,5982.73,-0.02,3.54,4.20,0.01,0.01,0.30,-0.84,14.70,3.16,66.34,66.67,66.68,1.57,-0.04,4.18,2.22,,,,,,,,
SP 39,7/6/2019 15:55,7/6/2019 15:55,Spring,Spring,23,68,7.32,195,,36.8,0,0.396,,,4.779,,,,,,,2.5804,BDL,1.248,0.2474,0.9619,0.0005,7.9551,3.7002,3.452,9.4291,-0.05,0.04,0.15,0.02,0.02,2.47,9.92,1.48,232.24,5297.04,-0.01,2.18,4.34,0.01,0.01,0.40,-0.90,6.96,3.82,61.79,63.12,79.69,1.65,-0.06,3.77,2.03,,,,,,,,
Sp. Box Sample,7/2/2018 11:23,7/2/2018 11:23,Spring,Spring,22.3,83.1,6.6,307,,32.3,0.13,0.01,0.86,BDL,7.61,BDL,,BDL,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sp. Box,7/8/2018 15:59,7/8/2018 17:36,Spring,Spring,,87.5,7.35,,,35.9,0.117,0.03,0.051,,,,1.413,,,0.15,0.16,1.9226,0.0063,1.6569,0.5809,0.6696,0.0076,5.907,2.4412,1.0611,6.0151,-0.13,0,1.77,0.01,-0.05,-0.42,17.68,19.55,250.24,4.78,0.02,0.03,-0.21,0,0.02,0.03,0.01,15.08,44.51,73,,,2.23,0.05,4.9,1.67,-5.34,-25.5,,,,,,
upper weir 1,7/12/2019 9:30,7/12/2019 9:30,Upstream,Stream,,,,,49,,0.064,,0.287,,8.563,,,,,,,2.4512,BDL,1.6684,0.3656,1.2581,0.0009,10.3874,5.7162,4.799,13.5701,0.19,0.00,0.04,0.02,0.12,1.35,14.57,8.83,248.09,7422.58,-0.01,0.80,4.86,0.00,0.02,0.09,-0.12,14.88,4.96,82.74,87.69,134.22,2.33,0.24,4.51,2.64,,,,,,,,
US UP,7/8/2018 13:45,7/8/2018 13:45,Spring,Spring,22.6,96.3,7.3,,,41.4,0.16,0.01,0.04,,,,,,0.2,0.93,0.08,2.6292,0.024,1.8225,0.2262,0.7837,0.0015,10.0458,1.8237,1.5141,8.4745,0.14,2.38,0.03,0.21,-0.03,165.67,25.06,9.55,299.72,6.05,0.35,0.69,60.15,0.01,0.08,0.78,1.29,53.76,5675.69,82.57,,,2.45,1.13,7.23,1.98,-5.11,-27.8,,,,,,
US01,7/6/2018 17:52,7/6/2018 17:52,Upstream,Stream,22,113.4,6.1,307,,41.4,0.53,0.19,0.12,0.1,7.62,,,,0.65,0.41,0.1,1.919,0.0258,2.0233,0.2717,0.8123,,7.4718,2.7995,2.109,10.862,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.85,-25.2,,,,,,
US02,7/6/2018 19:39,7/6/2018 19:39,Upstream,Stream,21.9,118,7,350,,48.8,0.37,0.02,0.48,0.5,8.15,,,,0.85,0.5,0.1,1.9487,0.0364,2.0311,0.0778,0.8304,,7.632,3.4369,2.1078,10.7794,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.73,-23.8,,,,,,
US03,7/6/2018 21:45,7/6/2018 21:45,Upstream,Stream,21.9,119.6,7,338,,50.4,BDL,BDL,0.24,BDL,8.17,,,,,1.91,0.11,1.9347,0.0042,2.1038,0.299,0.8368,,6.4086,3.2721,1.923,9.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.14,-24.9,,,,,,
US04,7/6/2018 23:40,7/6/2018 23:40,Upstream,Stream,21.9,115,7.1,354,,50,0.48,0.25,1.29,BDL,7.34,,,,1.77,0.31,0.11,1.9869,0.0183,2.1697,0.2719,0.8263,,6.4747,3.1192,1.9096,9.6881,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.83,-22.4,,,,,,
US05,7/7/2018 1:38,7/7/2018 1:38,Upstream,Stream,21.9,110.2,7.1,359,,60.8,1.06,0.38,0.42,BDL,8.01,,,,1.48,0.7,0.09,2.0249,0.0049,2.3314,0.3597,1.0827,0.0026,8.6035,2.3841,1.9258,9.9208,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.84,-22.9,,,,,,
US06,7/7/2018 3:53,7/7/2018 3:53,Upstream,Stream,21.9,116.7,7.1,363.3,,47.4,0.09,0.12,0.1,BDL,6.98,,,,0.19,2.1,0.11,2.0286,0.0065,2.3232,0.3448,1.1622,0.0028,9.5082,3.0526,2.0039,10.5015,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.72,-23.8,,,,,,
US07,7/7/2018 5:35,7/7/2018 5:35,Upstream,Stream,21.9,116.8,7.1,365.5,,48.6,0.31,BDL,1.35,BDL,6.76,,,,1.66,0.27,0.11,3.0484,0.0119,2.2883,0.3666,0.9673,0.0022,10.4269,1.9718,1.9185,9.8484,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.45,-23.5,,,,,,
