ID,SamplingDate,Chemetrics_Acidified_Date,Site,Source,Temp,SPCOND,pH,ORP,AlkalinityS,AlkalinityW,NH3_f,H2S_f,NO3_f,Fetot,O2,Mn_f,SO4_f,As_f,TotalNField,DOC,TDN,Cl,Fl,NO2,NO3,SO4,Li,Na_IC,K_IC,Mg_IC,Ca_IC,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,Sr2,Ba,K,As,Na,Mg,O18,D,,,,,,
US08,7/7/2018 7:53,7/7/2018 7:53,Upstream,Stream,21.9,116.8,7.1,367.3,,108,BDL,0.2,0.05,0.1,8.165,,,,,1.79,0.18,1.9913,0.0045,2.2944,0.3431,0.9692,0.0015,8.3979,2.7668,2.015,10.1638,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.64,-22.5,,,,,,
US09,7/7/2018 10:20,7/7/2018 11:00,Upstream,Stream,21.9,115.1,7.1,365.2,,41.8,0.08,0.07,0.08,BDL,,,,,0.16,0.62,0.1,2.076,0.015,2.2469,0.2763,1.044,0.0017,9.5217,2.7803,2.0456,10.2941,0.23,15.24,4.14,0.07,0.05,4.13,57.82,31.18,832.7,17.2,0.09,0.61,6.95,0.05,0.14,0.39,0.15,72.72,78.69,219.72,,,5.59,0.69,10.83,5.98,-4.84,-23.4,,,,,,
US10,7/7/2018 11:30,7/7/2018 13:40,Upstream,Stream,,,,,,44.2,0.13,0.07,0.18,BDL,,,,,,1.93,0.13,2.043,0.005,2.262,0.266,0.974,0.002,8.940,3.069,2.067,10.364,0.25,0.66,3.72,0.06,0.05,3.64,57.39,31.92,828.82,17.37,0.06,0.43,3.15,0.02,0.09,0.48,0.15,53.11,102.94,221.34,,,5.57,0.66,11.09,6.02,-4.78,-22.7,,,,,,
US11,7/7/2018 13:30,7/7/2018 14:20,Upstream,Stream,21.9,113,7,366.9,,44.2,0.07,0.03,0.07,BDL,,,,,0.14,1.94,0.18,2.2664,0.0238,1.9248,0.3376,0.9284,0.0023,9.4191,3.1465,1.7849,9.1115,0.15,0.86,3.35,0.04,0.04,22.41,48.74,26.07,871.45,15.16,0.11,0.36,12.58,0.06,0.1,0.78,0.41,37.8,170.9,194.36,,,5.35,0.6,10.07,5.18,-3.66,-18.2,,,,,,
US12,7/7/2018 15:27,7/7/2018 15:27,Upstream,Stream,21.8,114.1,7.1,369.6,,45,0.03,0.04,0.32,BDL,,,,,0.35,1.65,0.09,2.0837,0.0052,2.252,0.2953,1.0886,,7.0614,3.1368,2.0773,10.4623,,,,,,2.17,63.05,27.3,980.11,15.92,0.7,0.06,2.12,0.01,0.11,0.66,0.54,26,11126.84,201.69,,,5.23,0.63,14.95,5.58,-4.5,-24.6,,,,,,
US13,7/7/2018 17:45,7/7/2018 18:25,Upstream,Stream,21.9,115.5,7,362.3,,46.6,0.07,0.02,0.47,BDL,,,2.48,,0.54,0.61,0.12,2.0599,0.0271,2.3841,0.2827,1.3065,0.003,9.6086,3.3174,2.1229,10.5755,,,,,,282.84,60.67,29.53,943.83,16.3,0.87,0.65,9.76,0.03,0.12,1.31,4.09,36.37,13404.54,210.31,,,5.33,0.65,15.7,5.69,-4.62,-23.8,,,,,,
US14,7/7/2018 19:45,7/7/2018 20:39,Upstream,Stream,21.9,116.6,7,369,,51.8,0.07,0.03,0.09,BDL,,,,,0.16,0.62,0.18,2.0054,0.0115,2.1489,0.3536,1.0108,0.0043,10.5043,3.2045,2.1377,10.5961,,,,,,173.12,28.22,13.75,426.86,7.44,0.42,0.24,4.95,0,0.04,0.76,2.52,16.26,8213.21,95.44,,,2.54,0.3,9,2.73,-4.62,-24,,,,,,
US15,7/7/2018 21:30,7/7/2018 22:08,Upstream,Stream,21.8,116.4,7,371.3,,49.2,0.05,0.01,1.45,BDL,,,,,1.5,0.61,0.11,2.1069,0.0138,2.2173,0.3045,1.0925,0.0016,9.959,3.2462,2.153,10.6824,0.01,31.62,1.8,0.04,-0.01,0.89,25.52,13.55,411.09,7.55,0.02,0.3,1.56,0.01,0.04,0.74,0.05,22.43,64.01,95.91,,,2.57,0.27,5.36,2.76,-4.87,-23.8,,,,,,
US16,7/7/2018 23:40,7/7/2018 23:58,Upstream,Stream,21.9,116.2,7,372.7,,49.6,0.44,0.21,0.37,BDL,,,,,0.81,0.71,0.08,2.0207,0.0376,1.9686,0.3078,0.8535,0.0012,8.0565,2.684,1.9961,10.0657,,,,,,139.74,25.64,11.18,345.25,7.12,0.29,0.41,4.77,0,0.05,0.41,1.08,39.23,4700.77,90.08,,,2.49,1.12,6.98,2.61,-4.89,-24.1,,,,,,
US17,7/8/2018 1:50,7/8/2018 1:50,Upstream,Stream,21.8,116.4,7.1,373.3,,49.8,1.41,0.42,0.49,BDL,,,,,1.9,0.3,0.1,1.9655,0.0084,2.0935,0.2585,0.8619,0.0015,9.1939,3.4291,2.1364,10.7815,0.22,0.08,0.03,0.2,0,162,27.78,13.9,856.95,7.32,0.48,0.25,3.76,0,0.06,0.43,1.29,136.18,5615.97,97,,,1.91,1.25,9.97,2.68,-4.83,-23.6,,,,,,
US18,7/8/2018 3:45,7/8/2018 3:50,Upstream,Stream,21.8,116.3,7.1,373.4,,51,0.04,0.06,0.24,BDL,,,,,0.28,13.69,0.1,1.9447,0.0033,1.9217,0.2445,0.8053,0.0013,8.7801,2.6783,2.0779,10.685,0.22,0.69,0.03,0.22,0,175.29,28.34,13.83,352.34,7.61,0.34,0.27,4.06,0.01,0.05,1.19,1.39,27.62,6111.61,95.28,,,2.68,1.28,7.06,2.69,-5.63,-27.6,,,,,,
US19,7/8/2018 6:05,7/8/2018 8:15,Upstream,Stream,21.8,117,7,376.1,,49.6,0.01,0.01,0.05,BDL,,,,,0.06,0.61,0.09,1.9553,0.0169,1.9704,0.3619,0.8322,0.0012,9.1117,2.5424,2.0755,10.485,0.21,0.4,0.03,0.18,0,156.92,27.74,13.65,360.27,7.44,0.29,0.23,3.74,0,0.03,0.38,1.23,42.26,5356.21,94.37,,,2.68,1.32,7.29,2.71,-5.38,-25.6,,,,,,
US20,7/8/2018 7:56,7/8/2018 9:00,Upstream,Stream,21.8,117.7,7.1,376,,51.6,0.04,BDL,0,,,,,,0.04,13.63,0.17,1.9634,0.0052,2.0992,0.2365,0.9128,0.0012,10.331,2.733,2.1189,10.7612,0.2,0.36,0.03,0.2,0,162.9,28.54,14.08,357.52,7.7,0.29,0.22,4.03,0.01,0.04,0.39,1.34,12.26,5491.65,98.02,,,2.69,1.18,6.92,2.71,-5.31,-24.1,,,,,,
US21,7/8/2018 10:00,7/8/2018 10:50,Upstream,Stream,21.8,117.6,7.1,375.9,,50.8,0,0.05,0.03,,,,,,0,0.68,0.1,3.8401,0.012,2.0396,0.4076,0.898,0.0008,12.315,2.1524,2.0743,10.4979,0.23,0.22,0.03,0.21,0,167.74,28.75,14.55,370.5,7.85,0.34,0.19,3.74,0.01,0.04,0.4,1.31,59.38,6149.54,98.65,,,2.76,1.44,8.03,2.7,-6.13,-32.3,,,,,,
US22,7/8/2018 12:00,7/8/2018 0:00,Upstream,Stream,21.9,116.2,7,372.7,,52.4,0.03,0,0.05,,,,,,0.08,0.61,0.09,1.9351,0.0094,2.0565,0.2847,0.8303,0.0012,8.9733,2.9164,2.124,10.8692,0.22,2.65,0.03,0.18,0,147.17,27.67,14.54,365.25,7.74,0.48,0.21,6.67,0.09,0.04,0.36,1.14,126.7,5246.81,96.85,,,2.66,1.23,7.99,2.7,-5.17,-27.1,,,,,,
US23,7/8/2018 13:59,7/8/2018 14:52,Upstream,Stream,21.9,115.9,7,373.5,,50.6,0.15,0,0.05,,,,,,0.2,0.68,0.12,1.9839,0.0287,2.0285,0.3688,0.8667,0.0011,9.4699,3.0689,2.1577,10.9792,0.22,0.1,0.03,0.24,0,166.97,28.81,14.95,370.72,7.58,0.32,0.54,6.2,0.03,0.05,0.63,1.33,37.51,5380.49,96.53,,,2.74,1.34,7.9,2.55,-5.01,-26,,,,,,
US24,7/8/2018 15:40,7/8/2018 16:30,Upstream,Stream,21.9,115.9,7.1,373.9,,49.4,0.1,0.05,0.05,,,,,,0.15,0.63,0.12,1.9842,0.0733,2.0363,0.3475,0.8713,0.0009,9.3371,3.0923,2.1363,10.8724,0.23,0.18,0.03,0.22,0,170.82,27.39,13.67,350.15,7.3,0.35,0.36,3.66,0,0.03,0.49,1.32,37.28,6017.96,92.19,,,2.7,1.31,7.92,2.73,-4.94,-26.3,,,,,,
US25,7/8/2018 17:40,7/8/2018 18:50,Upstream,Stream,21.9,115.7,7.1,375.4,,52.8,0.09,0.02,0.05,,,,0.207,,0.14,0.64,0.09,1.9571,0.0082,1.8773,0.3382,0.7278,0.001,9.3336,3.1734,2.1641,10.8318,0.21,0.15,0.03,0.19,0,179.65,27,14.48,362.52,7.53,0.37,0.28,4.12,0,0.03,0.42,1.39,64.43,5929.23,95.45,,,2.73,1.34,7.88,2.8,-4.91,-23.9,,,,,,
USLB,7/6/2018 20:00,7/6/2018 20:00,Soil,Soil,22.5,129.1,6.8,191,,50,2.48,0.85,0.61,0.1,9.21,,,,3.09,0.35,0.06,1.9443,0.0201,2.2651,0.189,0.9585,0.0021,7.8051,2.9729,2.3521,11.1523,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.76,-25.3,,,,,,
Well 200,7/1/2018 15:06,7/1/2018 15:06,Soil,Soil,22.4,35,5.3,205,,4.6,,,,1,,BDL,,,0,1.48,0,2.1188,,1.3302,0.0294,0.5491,0.001,2.277,0.4472,0.3092,1.8345,-0.13,0.05,0.01,0.01,-0.04,1.47,5.59,0.57,207.3,1.49,0.02,16.7,0.74,0.01,0.26,0.3,0.01,92.15,52.39,17.02,,,0.34,0.01,2.01,0.51,-6.49,-26.9,,,,,,
Well 200a,7/6/2019 11:20,7/6/2019 11:20,Soil,Soil,24.2,165.6,6.2,33,,9,0.159,0.055,0.353,,4.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 200b,7/6/2019 11:25,7/6/2019 11:25,Soil,Soil,23.1,89.3,5.69,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 200c,7/6/2019 11:30,7/6/2019 11:30,Soil,Soil,23.1,47.6,5.45,92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 200d,7/6/2019 11:40,7/6/2019 11:40,Soil,Soil,222.9,28.5,5.18,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 200e,7/6/2019 11:50,7/6/2019 11:50,Soil,Soil,22.9,34.3,5.4,114.3,,,,,,,,,,,,,,2.6326,BDL,1.0797,0.0496,0.5721,0.0025,3.5522,6.0592,0.9503,3.6603,0.57,0.21,0.09,0.02,0.04,0.21,2.26,0.22,122.20,1629.73,-0.02,262.57,32.15,0.38,0.14,0.19,-0.17,14.30,2.70,18.20,18.25,182.46,0.25,0.08,1.62,0.60,,,,,,,,
Well 201 2019,7/6/2019 13:40,7/6/2019 13:40,Soil,Soil,23.5,87.6,6.43,12.7,,99,1.525,0.187,2.301,,,,,,,,,3.4249,0.0646,2.949,0.0458,0.5021,0.0008,4.0053,2.7166,6.2953,28.3608,0.72,0.75,0.08,0.00,0.01,-0.93,4.32,0.38,180.91,20063.97,-0.02,2720.54,336.79,6.20,0.74,0.14,-0.87,22.82,6.24,195.40,197.65,402.02,0.40,0.17,2.13,4.22,,,,,,,,
Well 202,7/1/2018 17:00,7/1/2018 17:00,Soil,Soil,22.2,122.1,4,344,,49.8,,,,3,,BDL,,,0,2.5,0.17,1.9066,0.0788,2.8955,0.4747,1.1097,,6.6354,2.8509,1.9632,10.213,0.15,0.12,3.05,0.07,-0.01,72.61,26.64,8.71,585.05,8.57,0.15,5.55,30.64,0.04,0.46,45.74,1.88,197.73,225.81,104.53,,,1.87,0.37,7.34,3.11,-6.02,-27.1,,,,,,
Well 202 2019,7/6/2019 14:45,7/6/2019 14:45,Soil,Soil,23.5,217.9,6.33,-22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 203,7/3/2018 9:26,7/3/2018 9:26,Soil,Soil,23,84.9,5.7,354,,28.5,0.92,0.37,0.11,1,7.84,BDL,,,1.03,6.17,0,1.5514,0.0062,1.76,,2.5605,0.0009,3.8446,1.5218,1.3198,8.5819,-0.13,0.16,0.09,1.98,0.26,2899.36,15.37,8.31,1174.43,9.67,1.11,446.91,2593.57,5.75,3.08,59.86,6.53,94.67,171.86,108.26,,,1.12,0.12,5.24,2.6,-5.44,-25.1,,,,,,
Well 205,7/5/2018 15:00,7/5/2018 15:00,Soil,Soil,22.3,108.2,6.6,208,,44.1,0.45,0.33,2.34,BDL,15.99,BDL,,,2.79,2.8,0,2.2126,0.0172,1.9673,0.2114,2.2021,0.0013,6.2936,2.4372,1.8073,10.5651,0.02,0.2,0.04,0.08,-0.02,89.62,23.08,1.83,932.52,7.97,0.04,109.82,87.81,0.13,0.25,0.54,3.2,73.71,105.2,99.21,,,2.14,0.17,4.71,2.5,-4.68,-26.2,,,,,,
Well 205a,7/6/2019 15:00,7/6/2019 15:00,Soil,Soil,23.3,105.1,6.57,37.7,,47,0.423,0.039,,,9.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well 205b,7/6/2019 16:30,7/6/2019 16:30,Soil,Soil,22.8,96.6,6.48,165,,,,,,,9.25,,,,,,,2.5708,BDL,1.6141,0.3701,1.1348,0.0008,9.4293,5.0617,4.2595,12.6468,0.19,0.67,0.23,0.03,0.03,0.49,12.72,0.85,305.57,6567.67,-0.01,145.93,15.64,0.42,0.23,0.47,-0.87,34.28,4.79,79.40,84.37,86.77,2.15,0.06,4.55,2.24,,,,,,,,
well 206,7/12/2019 16:10,7/12/2019 16:10,Soil,Soil,23.6,55.5,6.35,145.9,18.6,,1.491,0.368,0.64,,7.426,,,,,,,3.2174,BDL,1.0708,0.308,2.3035,0.001,5.5851,1.9264,1.4614,5.1826,0.19,0.06,3.94,0.02,0.09,0.78,4.35,0.83,465.96,2820.45,0.06,15.54,2.26,0.14,0.12,0.40,-0.11,3.04,3.52,30.46,31.18,81.66,0.76,0.03,2.33,0.89,,,,,,,,
