"","f_rain","f_deep","f_top"
"1",0.269623563321724,0.592657693945451,0.137718742732825
"2",0.0406827388828458,0.498009708816863,0.461307552300291
"3",0.158264910083608,0.606959071857528,0.234776018058864
"4",0.0674525692380389,0.555088918819639,0.377458511942322
"5",0.14118412571221,0.622899569139619,0.235916305148171
"6",0.0379834523474789,0.229705746571528,0.732310801080993
"7",0.122388227247981,0.41151297239922,0.466098800352799
"8",0.139887747390598,0.45100140577441,0.409110846834992
"9",0.227458486761512,0.55138234953526,0.221159163703228
"10",0.218811966441693,0.502801033125114,0.278387000433193
"11",0.230960460763518,0.495296575122143,0.273742964114339
"12",-0.0229807791265269,0.915214512237951,0.107766266888576
"13",0.175435142287338,0.742830161723571,0.0817346959890907
"14",0.0900703070548028,0.739502966057721,0.170426726887476
"15",-0.399474277493715,0.988134539531508,0.411339737962207
"16",0.157530432693344,0.70108432572379,0.141385241582866
"17",-1.07101936997399,1.37915446471558,0.691864905258415
"18",0.149687417369785,0.694728770883726,0.155583811746489
"19",0.136672591774634,0.641103408767792,0.222223999457574
"20",0.157513708683655,0.60881730839396,0.233668982922385
