soil_m,soil_s
[0.36924793],0.07303629470373732
[0.25760861],0.08636309108868137
[6.88362256e-07],0.026573101301464615
[0.22891952],0.09807071465886708
[0.32174014],0.10596750854224508
[0.49749602],0.08189491277503358
[0.40039271],0.1055458583153467
[0.35379997],0.08062534649501997
[0.5911174],0.036891131383753835
[0.69856066],0.06368218413240216
[0.57157571],0.052166240970018124
[0.57740924],0.05435678545558338
[0.51237396],0.06784864781766797
[0.43066864],0.06983386569260377
[0.51340178],0.06954045821924676
[0.22747488],0.09601670938414272
[0.29308217],0.09409783252334204
