0,1,2,3,4,5,6,7,8,9
0.05114515002513893,,,,,,,,,
0.0007626584473563814,,,,,,,,,
0.4805998611695994,,,,,,,,,
0.0008563657596563249,,,,,,,,,
0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9
0.06274848312052256,,,,,,,,,
0.0663238578751159,,,,,,,,,
4.645638320471836e-05,,,,,,,,,
9.799706724817279e-05,,,,,,,,,
0.07289521734919031,,,,,,,,,
0.0016117593675440945,,,,,,,,,
0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9
8.2419262510852e-05,0.05873864975242879,,,,,,,,
0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9
0.058948298578260665,,,,,,,,,
0.4206388055781144,,,,,,,,,
0.00010439141349782662,,,,,,,,,
