Date,SC
7/8/2018 0:53,110.4
7/8/2018 1:03,110.4
7/8/2018 1:13,110.4
7/8/2018 1:23,110.5
7/8/2018 1:33,110.5
7/8/2018 1:43,110.6
7/8/2018 1:53,110.7
7/8/2018 2:03,110.9
7/8/2018 2:13,110.9
7/8/2018 2:23,110.9
7/8/2018 2:33,110.9
7/8/2018 2:43,111.1
7/8/2018 2:53,111
7/8/2018 3:03,110.8
7/8/2018 3:13,110.5
7/8/2018 3:23,108.3
7/8/2018 3:33,108.8
7/8/2018 3:43,109.6
7/8/2018 3:53,110.3
7/8/2018 4:03,110
7/8/2018 4:13,110
7/8/2018 4:23,110.3
7/8/2018 4:33,110.9
7/8/2018 4:43,110.9
7/8/2018 4:53,111
7/8/2018 5:03,111
7/8/2018 5:13,111.1
7/8/2018 5:23,110
7/8/2018 5:33,110.3
7/8/2018 5:43,110.6
7/8/2018 5:53,111.2
7/8/2018 6:03,111.1
7/8/2018 6:13,111
7/8/2018 6:23,111.2
7/8/2018 6:33,111.3
7/8/2018 6:43,110.6
7/8/2018 6:53,108.9
7/8/2018 7:03,105.9
7/8/2018 7:13,105.1
7/8/2018 7:23,106.5
7/8/2018 7:33,107.9
7/8/2018 7:43,109.1
7/8/2018 7:53,110
7/8/2018 8:03,110.4
7/8/2018 8:13,111
7/8/2018 8:23,111.2
7/8/2018 8:33,111.4
7/8/2018 8:43,111.6
7/8/2018 8:53,111.7
7/8/2018 9:03,111.9
7/8/2018 9:13,111.7
7/8/2018 9:23,111.9
7/8/2018 9:33,112.4
7/8/2018 9:43,112.5
7/8/2018 9:53,112.4
7/8/2018 10:03,112.7
7/8/2018 10:13,112.7
7/8/2018 10:23,112.6
7/8/2018 10:33,112.7
7/8/2018 10:43,112.5
7/8/2018 10:53,112.6
7/8/2018 11:03,112.7
7/8/2018 11:13,112.6
7/8/2018 11:23,112.9
7/8/2018 11:33,113
7/8/2018 11:43,112.6
7/8/2018 11:53,112.9
7/8/2018 12:03,113
7/8/2018 12:13,112.9
7/8/2018 12:23,112.8
7/8/2018 12:33,112.8
7/8/2018 12:43,112.9
7/8/2018 12:53,113
7/8/2018 13:03,113.1
7/8/2018 13:13,112.9
7/8/2018 13:23,112.9
7/8/2018 13:33,113.1
7/8/2018 13:43,113.3
